STATE,EVENT_CATEGORY,COUNT
tennessee,Tornado,33.4
tennessee,Wind,476.25
tennessee,Winter Weather,95.2631578947
texas,Flood,444.4
texas,Heat,529.5
texas,Hurricane,9.2
texas,Storm,1255.05
texas,Tide,2.88888888889
texas,Tornado,139.9
texas,Wind,817.95
texas,Winter Weather,147.45
utah,Flood,35.4
utah,Heat,40.1176470588
utah,Storm,77.65
utah,Tornado,4.05555555556
utah,Wind,57.0
utah,Winter Weather,70.75
vermont,Flood,26.0
vermont,Heat,6.2
vermont,Storm,90.7
vermont,Tornado,1.625
vermont,Wind,86.4
vermont,Winter Weather,71.2
virgin islands,Flood,4.70588235294
virgin islands,Heat,2.45454545455
virgin islands,Hurricane,2.75
virgin islands,Storm,5.4375
virgin islands,Tide,1.5
virgin islands,Tornado,4.44444444444
virgin islands,Wind,2.27272727273
virginia,Flood,153.3
virginia,Heat,84.4
virginia,Hurricane,13.0
virginia,Storm,401.45
virginia,Tide,1.0
virginia,Tornado,21.4
virginia,Wind,465.0
virginia,Winter Weather,181.2
washington,Flood,25.95
washington,Heat,16.4736842105
washington,Storm,33.8
washington,Tide,2.33333333333
washington,Tornado,4.95
washington,Wind,80.4
washington,Winter Weather,75.35
west virginia,Flood,82.85
west virginia,Heat,77.7142857143
west virginia,Storm,152.0
west virginia,Tornado,3.6
west virginia,Wind,222.85
west virginia,Winter Weather,126.7
wisconsin,Flood,55.55
wisconsin,Heat,83.7368421053
wisconsin,Storm,431.85
wisconsin,Tide,1.5
wisconsin,Tornado,37.15
wisconsin,Wind,353.5
wisconsin,Winter Weather,127.15
wyoming,Flood,14.55
wyoming,Heat,4.57142857143
wyoming,Storm,203.95
wyoming,Tornado,13.8
wyoming,Wind,203.95
wyoming,Winter Weather,59.8
